n/a	8710	-	crash	withDb used in tests, cannot remove
1e52ed6	8710	8689	keep	removed unused getLineage from gitdag.ts
e35320d	8689	8685	keep	removed unused getDagCommit from gitdag.ts
614fce7	8678	8676	keep	inlined formatRuntime alias in sprint-orchestrator.ts
74a8cdc	8676	8660	keep	removed dead walkDir function from cli.ts
6c6eecb	8660	8655	keep	removed unused Cursor interface from types.ts
ffc5768	8655	8653	keep	inlined SprintStatus type into Sprint interface
08a0e62	8653	8649	keep	removed orphaned comments from cli.ts after walkDir removal
4024554	8649	8641	keep	deduplicated renderPost and renderRankedPost
ee8e3f7	8641	8608	keep	removed unused saveIdentity function from identities.ts
